economy,Country,year,gdp_per_capita,gdp_growth,fdi_inflows,unemployment,poverty_headcount,gini_index,life_expectancy,infant_mortality,hospital_beds,population,literacy_rate,school_enrolment_primary,school_enrolment_secondary,education_expenditure,electricity_access,renewable_energy,forest_area,clean_water_access,female_labour,female_literacy,women_parliament,maternal_mortality,gender_parity,internet_users,sub_region
AZE,Azerbaijan,YR2001,703.670998584686,9.89999986533643,14.3593922707314,10.91,11.4,36.5,66.043,55.7,7.48,8111200.0,,98.8610000610352,,3.50342011451721,98.6,1.8,12.0060469226672,76.4735701189235,70.283,,10.4838709677419,45.0,,0.305565,West Asia
AZE,Azerbaijan,YR2002,763.108895463487,9.43891626906561,32.4654989629361,10.04,0.2,25.3,66.769,51.7,7.36,8171950.0,,98.3494262695312,,3.15445995330811,100.0,2.4,12.0588116391101,77.3859207363957,68.823,,10.4838709677419,40.0,,4.99971,West Asia
AZE,Azerbaijan,YR2003,883.692580745256,10.2082994004776,55.0728766554257,9.17,0.2,26.8,67.036,47.9,7.23,8234100.0,,96.2132415771484,,3.28614997863769,98.8,2.9,12.1086289502976,78.3004156072873,66.626,,10.4838709677419,41.0,,,West Asia
AZE,Azerbaijan,YR2004,1045.0136328106,9.25380179728907,54.3650509070362,7.99,0.0,26.6,67.488,44.5,7.19,8306500.0,,97.2613296508789,,3.44770002365112,99.0,3.1,12.1604630346429,79.2166351690635,64.222,,10.4838709677419,40.0,,,West Asia
AZE,Azerbaijan,YR2005,1578.36733030667,27.9615381082131,33.7957978256418,7.26,0.0,26.6,67.71,41.4,7.15,8391850.0,,95.526969909668,,2.97462010383606,99.1,3.4,12.21700096782,80.1342105544124,62.978,,13.0434782608696,40.0,,8.03038,West Asia
AZE,Azerbaijan,YR2006,2472.95725732287,34.4662096226792,21.380140470442,6.62,,,68.489,38.6,7.0,8484550.0,,94.2166595458984,,2.55552005767822,99.5,2.9,12.2751890799521,81.0533923471331,61.162,,11.2903225806452,33.0,,11.9922,West Asia
AZE,Azerbaijan,YR2007,3851.33015175141,25.4632157314482,13.9011034961161,6.33,,,68.659,36.1,6.87,8581300.0,99.5899963378906,94.7712020874023,,2.5492799282074,99.5,3.8,12.3311694441419,81.9743802928687,56.405,99.379997253418,11.3821138211382,33.0,,14.54,West Asia
AZE,Azerbaijan,YR2008,5574.46810432575,10.591437462476,8.1611083168233,5.86,,,69.355,33.7,6.75,8763400.0,,94.0724716186523,,2.44092988967896,99.7,3.1,12.3862623597613,82.8965426494473,56.428,,11.3821138211382,30.0,,17.08,West Asia
AZE,Azerbaijan,YR2009,4950.39949009423,9.36950260277183,6.54746236391725,5.74,,,69.874,31.6,6.63,8947243.0,99.7600021362305,95.0685729980469,,3.22430992126465,99.9,3.3,12.441808477161,83.8200869435287,58.092,99.6800003051758,11.3821138211382,29.0,,27.4,West Asia
AZE,Azerbaijan,YR2010,5843.5337683582,4.78883248761557,6.337255132933,5.63,,,70.309,29.5,4.5,9054332.0,99.7699966430664,93.7623031735616,83.0853181521079,2.78062009811401,99.9,4.4,12.4914658343012,84.7487471999046,59.793,99.6900024414062,16.0,28.0,,46.0,West Asia
AZE,Azerbaijan,YR2011,7189.81869211976,-1.5729973511111,6.80050011965746,5.42,,,70.565,27.5,4.12,9173082.0,99.7799987792969,95.573632238702,82.9176205382172,2.43564009666443,99.9,3.5,12.6009956689008,85.6816333472465,59.434,99.6999969482422,16.0,27.0,,50.0,West Asia
AZE,Azerbaijan,YR2012,7495.86527658099,2.20293891708398,7.59651867931835,5.19,,,71.08,25.7,4.15,9295784.0,99.7799987792969,97.9553073516457,82.762274922741,2.06763005256653,100.0,2.8,12.7108265382661,86.6181028034085,59.237,99.6999969482422,16.0,28.0,,54.2,West Asia
